,Domain Name,Domain Type,Agency,City,State
1731,READYHOUSTONTX.GOV,City,Non-Federal Agency,Houston,TX
1732,READYSOUTHTEXAS.GOV,City,Non-Federal Agency,San Antonio,TX
1749,RICETX.GOV,City,Non-Federal Agency,Rice,TX
1756,RICHMONDTX.GOV,City,Non-Federal Agency,RICHMOND,TX
1758,RICHWOODTX.GOV,City,Non-Federal Agency,Richwood,TX
1795,ROSEHILLACRESTX.GOV,City,Non-Federal Agency,Rose Hill Acres,TX
1796,ROSENBERGTX.GOV,City,Non-Federal Agency,Rosenberg,TX
1800,ROUNDROCKTEXAS.GOV,City,Non-Federal Agency,Round Rock,TX
1802,ROWLETTTX.GOV,City,Non-Federal Agency,Rowlett,TX
1818,SALADOTX.GOV,City,Non-Federal Agency,Salado,TX
1824,SANANTONIO.GOV,City,Non-Federal Agency,San Antonio,TX
1829,SANMARCOSTEXAS.GOV,City,Non-Federal Agency,San Marcos,TX
1830,SANMARCOSTX.GOV,City,Non-Federal Agency,San Marcos,TX
1849,SCHERTZ-TX.GOV,City,Non-Federal Agency,Schertz,TX
1855,SEABROOKTX.GOV,City,Non-Federal Agency,Seabrook,TX
1865,SEGUINTEXAS.GOV,City,Non-Federal Agency,Seguin,TX
1888,SIMONTONTEXAS.GOV,City,Non-Federal Agency,simonton,TX
1908,SOMERSETTX.GOV,City,Non-Federal Agency,Somerset,TX
1926,SOUTHPADRETEXAS.GOV,City,Non-Federal Agency,South Padre Island,TX
1945,STAFFORDTX.GOV,City,Non-Federal Agency,stafford,TX
1955,STEPHENVILLETX.GOV,City,Non-Federal Agency,Stephenville,TX
1979,SUGARLANDTX.GOV,City,Non-Federal Agency,Sugar Land,TX
2005,TAYLORTX.GOV,City,Non-Federal Agency,Taylor,TX
2011,TEMPLETX.GOV,City,Non-Federal Agency,Temple,TX
2013,THECOLONYTX.GOV,City,Non-Federal Agency,The Colony,TX
2014,THEWOODLANDS-TX.GOV,City,Non-Federal Agency,The Woodlands,TX
2015,THEWOODLANDSTOWNSHIP-TX.GOV,City,Non-Federal Agency,The Woodlands,TX
2021,TIOGATX.GOV,City,Non-Federal Agency,Tioga,TX
2026,TOMBALLTX.GOV,City,Non-Federal Agency,Tomball,TX
2087,TROPHYCLUBTX.GOV,City,Non-Federal Agency,Trophy Club,TX
2101,TULIA-TX.GOV,City,Non-Federal Agency,Tulia,TX
2115,UCTX.GOV,City,Non-Federal Agency,Universal City,TX
2124,UNIVERSALCITYTEXAS.GOV,City,Non-Federal Agency,Universal City,TX
2132,UVALDETX.GOV,City,Non-Federal Agency,Uvalde,TX
2141,VERNONTX.GOV,City,Non-Federal Agency,Vernon,TX
2169,VILLAGEOFVOLENTE-TX.GOV,City,Non-Federal Agency,Volente,TX
2173,VOLENTETEXAS.GOV,City,Non-Federal Agency,Volente,TX
2175,VONORMYTX.GOV,City,Non-Federal Agency,Von Ormy,TX
2176,WACOTX.GOV,City,Non-Federal Agency,Waco,TX
2214,WEATHERFORDTX.GOV,City,Non-Federal Agency,Weatherford,TX
2226,WESLACOTX.GOV,City,Non-Federal Agency,Weslaco,TX
2256,WESTUTX.GOV,City,Non-Federal Agency,West University Place ,TX
2270,WICHITAFALLSTX.GOV,City,Non-Federal Agency,Wichita Falls,TX
2293,WINDCREST-TX.GOV,City,Non-Federal Agency,Windcrest,TX
2304,WOODCREEKTX.GOV,City,Non-Federal Agency,Woodcreek,TX
2310,WOODVILLE-TX.GOV,City,Non-Federal Agency,Woodville,TX
2315,WYLIETEXAS.GOV,City,Non-Federal Agency,Wylie,TX
2322,YORKTOWNTX.GOV,City,Non-Federal Agency,Yorktown,TX
